ensemble_size,property_diversity_level,encoding_method,classification_problem,auc,euc,diversity_score,property_diversity
1,0.0,novel_only,HIV-protease,0.8019919255476963,0.19800807445230373,0.3800934673463885,0.7158480856602953
1,0.0,novel_only,T-cell-epitopes,0.7398073450466903,0.2601926549533097,0.025570148919218827,0.58584922942115
1,0.0,novel_only,HLA-binding,0.721308096154589,0.278691903845411,0.6214331493376257,0.4252290520580271
1,0.0,orthonormal_only,HIV-protease,0.8228224646775137,0.17717753532248626,0.6796919675794711,0.6768606765226484
1,0.0,orthonormal_only,T-cell-epitopes,0.7561768965295934,0.2438231034704066,0.3021134346224881,0.41685422621583834
1,0.0,orthonormal_only,HLA-binding,0.7694280775633605,0.2305719224366395,0.8128609461495753,0.6744204120723309
1,0.0,mixed_novel_orthonormal,HIV-protease,0.7380188640458287,0.2619811359541713,0.41540182254147995,0.5282967378114157
1,0.0,mixed_novel_orthonormal,T-cell-epitopes,0.8016505178655348,0.19834948213446524,0.8973270181340206,0.6990186762200296
1,0.0,mixed_novel_orthonormal,HLA-binding,0.8430370539422684,0.15696294605773164,0.41666960294005906,0.3875230322301202
1,0.0,diverse_properties,HIV-protease,0.766463335233456,0.233536664766544,0.5393421476374264,0.8338703658014635
1,0.0,diverse_properties,T-cell-epitopes,0.8827984073105115,0.11720159268948849,0.5569536901198662,0.694492891820539
1,0.0,diverse_properties,HLA-binding,0.8701261738862903,0.12987382611370968,0.8186889624619017,0.7140283436015642
1,0.0,similar_properties,HIV-protease,0.7018777381408372,0.2981222618591628,0.7453132172393413,0.1971188019400164
1,0.0,similar_properties,T-cell-epitopes,0.714790368368481,0.285209631631519,0.3764243416657873,0.08580076783627777
1,0.0,similar_properties,HLA-binding,0.8495148455248802,0.1504851544751198,0.5836921678788125,0.8396824558780396
1,0.2,novel_only,HIV-protease,0.7698419915305621,0.2301580084694379,0.22949343345516748,0.5669776402329093
1,0.2,novel_only,T-cell-epitopes,0.8455906095744863,0.15440939042551372,0.03982299561833513,0.7533105330014337
1,0.2,novel_only,HLA-binding,0.8370366882458464,0.16296331175415357,0.1914659435555467,0.869670973914927
1,0.2,orthonormal_only,HIV-protease,0.8025176049384413,0.19748239506155874,0.8089522756082447,0.6073357584321009
1,0.2,orthonormal_only,T-cell-epitopes,0.878657716380526,0.12134228361947397,0.0592567527064608,0.2785085198330617
1,0.2,orthonormal_only,HLA-binding,0.8542720750177397,0.14572792498226028,0.08107913307719272,0.5751430445353748
1,0.2,mixed_novel_orthonormal,HIV-protease,0.7265116651937744,0.2734883348062256,0.6869111974458496,0.23251079311959533
1,0.2,mixed_novel_orthonormal,T-cell-epitopes,0.7025545560778647,0.29744544392213534,0.4833407926460036,0.020118791034561156
1,0.2,mixed_novel_orthonormal,HLA-binding,0.8613330188120748,0.1386669811879252,0.7490216756684238,0.7688363840720578
1,0.2,diverse_properties,HIV-protease,0.8714324043054211,0.12856759569457887,0.420506034372929,0.9733314346353434
1,0.2,diverse_properties,T-cell-epitopes,0.7701465767856482,0.22985342321435176,0.19765936609489532,0.5594038603724834
1,0.2,diverse_properties,HLA-binding,0.7162990021586036,0.28370099784139635,0.41829704416695546,0.3308791709715513
1,0.2,similar_properties,HIV-protease,0.8690786183673926,0.13092138163260736,0.8533470478454656,0.21850012866718882
1,0.2,similar_properties,T-cell-epitopes,0.8663401856171914,0.1336598143828086,0.354781989403254,0.7770749190538404
1,0.2,similar_properties,HLA-binding,0.7981998461039201,0.20180015389607986,0.17904505755833244,0.0048083066128479235
1,0.4,novel_only,HIV-protease,0.8024968478312753,0.19750315216872472,0.29977774564298865,0.883305845979339
1,0.4,novel_only,T-cell-epitopes,0.8970263832799041,0.10297361672009586,0.8070073973134309,0.6923830352768008
1,0.4,novel_only,HLA-binding,0.8277567659794213,0.17224323402057873,0.4147150861159047,0.827796425881662
1,0.4,orthonormal_only,HIV-protease,0.7307376798465892,0.2692623201534108,0.6707660911262238,0.6420284775345041
1,0.4,orthonormal_only,T-cell-epitopes,0.8987914382445507,0.10120856175544934,0.3552898189451561,0.6246746257924015
1,0.4,orthonormal_only,HLA-binding,0.7819342792291505,0.2180657207708495,0.8861710426542573,0.3341500871769787
1,0.4,mixed_novel_orthonormal,HIV-protease,0.8304791351097794,0.16952086489022056,0.06629046668485739,0.10093837937254868
1,0.4,mixed_novel_orthonormal,T-cell-epitopes,0.714880862580358,0.285119137419642,0.08612735398370497,0.678636112334523
